Num,Prio,Summary,Resolver_group,Active,Summary_Clean,Summary_Clean_lemmatized,Final_cleaned,Resolver_group_Clean,Resolver_group_Clean_lemmatized,topic,top_words
INC0110289,2 - High,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB08 is in a current state of: Critical,JDE CNC Technical,False,critical alert  a jde_webserver_services compo,critical alert   a jde_webserver_services compo,jde cnc,              jde cnc technical,               jde cnc technical,11,critical-device
INC0110290,3 - Moderate,Alert: Memory Utilization on tcmprd-haasr02.tcmis.com is warning,Linux Support,False,alert memory utilization on tcmprdhaasr02tcm,alert memory utilization on tcmprdhaasr02tcm,linux support,                  linux support,                   linux support,5,utilization-gbvvssq10
INC0110292,3 - Moderate,Warning Alert: Memory Utilization on CAV-SQLDW04 is : 94 %,Windows Support,False,warning alert memory utilization on cavsqldw0,warn alert memory utilization on cavsqldw0,windows support,                windows support,                 window support,1,cpu-utilization
INC0110293,2 - High,Alert: CPU Utilization on AUS-BI02 is Critical	,Windows Support,False,  alert cpu utilization on ausbi02 is criticalt,   alert cpu utilization on ausbi02 be criticalt,windows support,                windows support,                 window support,1,cpu-utilization
INC0110297,3 - Moderate,Warning Alert: Memory Utilization on GBVVSCL3 is : 94 %,Windows Support,False,warning alert memory utilization on gbvvscl3 i,warn alert memory utilization on gbvvscl3 I,windows support,                windows support,                 window support,9,gbvvscl3-warn
INC0110298,2 - High,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Critical	,Windows Support,False,alert cpu utilization on ausesx17haasgroupin,alert cpu utilization on ausesx17haasgroupin,windows support,                windows support,                 window support,7,disk-space
INC0110301,3 - Moderate,Alert: CPU Utilization on tcmdev-ora01 is Critical,Linux Support,False,alert cpu utilization on tcmdevora01 is critical,alert cpu utilization on tcmdevora01 be critical,linux support,                  linux support,                   linux support,1,cpu-utilization
INC0110305,2 - High,Alert: CPU Utilization in GJDEWEB08 is Critical	,JDE CNC Technical,False, alert cpu utilization in gjdeweb08 is criticalt,  alert cpu utilization in gjdeweb08 be criticalt,jde cnc,              jde cnc technical,               jde cnc technical,7,disk-space
INC0110316,3 - Moderate,ALERT: DISK SPACE on XA6506-C:\ Label: 88E6AF70 has currently 20 % is available,Citrix Support,False,alert disk space on xa6506c label 88e6af70,alert disk space on xa6506c label 88e6af70,citrix support,                 citrix support,                  citrix support,3,node-reboot
INC0110318,2 - High,Alert: CPU Utilization on AUS-BIPRD-PUB02 is Critical	,Windows Support,False,alert cpu utilization on ausbiprdpub02 is cr,alert cpu utilization on ausbiprdpub02 be cr,windows support,                windows support,                 window support,10,esx-utilization
INC0110326,2 - High,Critical Alert: Memory Utilization on GBVVSMS4 is : 99 %,Windows Support,False,critical alert memory utilization on gbvvsms4 ,critical alert memory utilization on gbvvsms4,windows support,                windows support,                 window support,1,cpu-utilization
INC0110327,3 - Moderate,Warning Alert: Memory Utilization on GBVVSFS3 is : 94 %,Windows Support,False,warning alert memory utilization on gbvvsfs3 i,warn alert memory utilization on gbvvsfs3 I,windows support,                windows support,                 window support,13,memory-warn
INC0110333,3 - Moderate,Warning Alert: Memory Utilization on GBVVSMS4 is : 95 %,Windows Support,False,warning alert memory utilization on gbvvsms4 i,warn alert memory utilization on gbvvsms4 I,windows support,                windows support,                 window support,1,cpu-utilization
INC0110341,3 - Moderate,Alert: CPU Utilization on GJDEWEB08 is Critical,JDE CNC Technical,False,   alert cpu utilization on gjdeweb08 is critical,    alert cpu utilization on gjdeweb08 be critical,jde cnc,              jde cnc technical,               jde cnc technical,7,disk-space
INC0110345,3 - Moderate,Warning Alert: Memory Utilization on GBVVSSQ6 is : 94 %,Windows Support,False,warning alert memory utilization on gbvvssq6 i,warn alert memory utilization on gbvvssq6 I,windows support,                windows support,                 window support,13,memory-warn
INC0110346,3 - Moderate,Warning Alert: Memory Utilization on GBVVSSQ6 is : 94 %,Windows Support,False,warning alert memory utilization on gbvvssq6 i,warn alert memory utilization on gbvvssq6 I,windows support,                windows support,                 window support,13,memory-warn
INC0110360,3 - Moderate,Alert: Memory Utilization on XNETWEB03 is in Warning,Windows Support,False,alert memory utilization on xnetweb03 is in wa,alert memory utilization on xnetweb03 be in wa,windows support,                windows support,                 window support,5,utilization-gbvvssq10
INC0110366,3 - Moderate,Warning Alert: Memory Utilization on GBVVSSQ10 is : 94 %,Windows Support,False,warning alert memory utilization on gbvvssq10 ,warn alert memory utilization on gbvvssq10,windows support,                windows support,                 window support,5,utilization-gbvvssq10
INC0110372,3 - Moderate,ALERT: DISK SPACE on XA6508-C:\ Label: 88E6AF70 has currently 20 % is available,Citrix Support,False,alert disk space on xa6508c label 88e6af70,alert disk space on xa6508c label 88e6af70,citrix support,                 citrix support,                  citrix support,3,node-reboot
INC0110374,2 - High,Alert: CPU Utilization on TXAUS-DC01 is Critical	,Windows Support,False,alert cpu utilization on txausdc01 is criticalt,alert cpu utilization on txausdc01 be criticalt,windows support,                windows support,                 window support,1,cpu-utilization
INC0110385,3 - Moderate,ALERT: DISK SPACE on XA6509-C:\ Label: 88E6AF70 has currently 20 % is available,Citrix Support,False,alert disk space on xa6509c label 88e6af70,alert disk space on xa6509c label 88e6af70,citrix support,                 citrix support,                  citrix support,7,disk-space
INC0110399,3 - Moderate,ALERT: DISK SPACE on XA6514-C:\ Label: 88E6AF70 has currently 19 % is available,Citrix Support,False,alert disk space on xa6514c label 88e6af70,alert disk space on xa6514c label 88e6af70,citrix support,                 citrix support,                  citrix support,8,warningt-ausmcl01
INC0110402,3 - Moderate,ALERT: DISK SPACE on XA6529-C:\ Label: 88E6AF70 has currently 20 % is available,Citrix Support,False,alert disk space on xa6529c label 88e6af70,alert disk space on xa6529c label 88e6af70,citrix support,                 citrix support,                  citrix support,7,disk-space
INC0110406,3 - Moderate,ALERT: DISK SPACE on XA6505-C:\ Label: 88E6AF70 has currently 20 % is available,Citrix Support,False,alert disk space on xa6505c label 88e6af70,alert disk space on xa6505c label 88e6af70,citrix support,                 citrix support,                  citrix support,8,warningt-ausmcl01
INC0110421,3 - Moderate,Alert: CPU Utilization in GJDEWEB01 is Warning	,JDE CNC Technical,False,  alert cpu utilization in gjdeweb01 is warningt,   alert cpu utilization in gjdeweb01 be warningt,jde cnc,              jde cnc technical,               jde cnc technical,5,utilization-gbvvssq10
INC0110436,3 - Moderate,Alert: CPU Utilization on AUS-MCL01 is Warning	,Windows Support,False,  alert cpu utilization on ausmcl01 is warningt,   alert cpu utilization on ausmcl01 be warningt,windows support,                windows support,                 window support,8,warningt-ausmcl01
INC0110449,3 - Moderate,Alert: CPU Utilization on AUS-MCL01 is Warning	,Windows Support,False,  alert cpu utilization on ausmcl01 is warningt,   alert cpu utilization on ausmcl01 be warningt,windows support,                windows support,                 window support,8,warningt-ausmcl01
INC0110455,3 - Moderate,ALERT: DISK SPACE on XA6523-C:\ Label: 88E6AF70 has currently 20 % is available,Citrix Support,False,alert disk space on xa6523c label 88e6af70,alert disk space on xa6523c label 88e6af70,citrix support,                 citrix support,                  citrix support,8,warningt-ausmcl01
INC0110457,3 - Moderate,ALERT: DISK SPACE on XA6516-C:\ Label: 88E6AF70 has currently 20 % is available,Citrix Support,False,alert disk space on xa6516c label 88e6af70,alert disk space on xa6516c label 88e6af70,citrix support,                 citrix support,                  citrix support,7,disk-space
INC0110462,3 - Moderate,TIER 3 - Critical Device Down: US-THR-891-AAX-R01.wescoaircraft.com is Down,Network Support,False,tier 3  critical device down usthr891aaxr,tier 3   critical device down usthr891aaxr,network support,                network support,                 network support,14,point-wpm
INC0110464,3 - Moderate,ALERT: DISK SPACE on XA6525-C:\ Label: 88E6AF70 has currently 20 % is available,Citrix Support,False,alert disk space on xa6525c label 88e6af70,alert disk space on xa6525c label 88e6af70,citrix support,                 citrix support,                  citrix support,3,node-reboot
INC0110485,4 - Low,ALERT: DISK SPACE on GBVVSDV1-E:\ Label:DATA 301C627F has currently 13 % is available,Windows Support,False,alert disk space on gbvvsdv1e labeldata 30,alert disk space on gbvvsdv1e labeldata 30,windows support,                windows support,                 window support,8,warningt-ausmcl01
INC0110490,3 - Moderate,TIER 3 - Critical Device Down: US-SLC-891-NOC-R01.wescoaircraft.com is Down,Network Support,False,tier 3  critical device down usslc891nocr,tier 3   critical device down usslc891nocr,network support,                network support,                 network support,11,critical-device
INC0110498,3 - Moderate,"GROUP ALERT: Group is Down - Network Team Tickets: Tier3 - NG: Salt Lake City - AMER - 2211 West North Temple, Salt Lake City, UT 84116, USA",Network Support,False,group alert group is down  network team ticke,group alert group be down   network team ticke,network support,                network support,                 network support,0,group-network
INC0110515,3 - Moderate,Warning Alert: Memory Utilization on USAZSCCMCAS01 is : 94 %,Windows Support,False,warning alert memory utilization on usazsccmca,warn alert memory utilization on usazsccmca,windows support,                windows support,                 window support,13,memory-warn
INC0110522,2 - High,ALERT:  A ADC _sabrix _URL _monitoring component  on ws1.tcmis.com is Down,Linux Support,False,alert  a adc _sabrix _url _monitoring componen,alert   a adc _ sabrix _ url _ monitor componen,linux support,                  linux support,                   linux support,9,gbvvscl3-warn
INC0110527,3 - Moderate,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,Network Support,False,tier 3  critical device down frtartz300f01,tier 3   critical device down frtartz300f01,network support,                network support,                 network support,12,tier-critical
INC0110536,2 - High,Alert: CPU Utilization in GJDEWEB04 is Critical	,JDE CNC Technical,False, alert cpu utilization in gjdeweb04 is criticalt,  alert cpu utilization in gjdeweb04 be criticalt,jde cnc,              jde cnc technical,               jde cnc technical,1,cpu-utilization
INC0110537,2 - High,Critical ALERT:  A Baseline Services_Windows component  on VALJDELOG03 is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0110538,2 - High,Critical ALERT:  A Baseline Services_Windows component  on CAMI-RODC01 is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0110539,2 - High,Critical ALERT:  A Baseline Services_Windows component  on DC03PAPRC01 is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0110540,2 - High,Critical ALERT:  A Baseline Services_Windows component  on CAV-CMDR01 is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0110541,2 - High,Critical ALERT:  A Baseline Services_Windows component  on G-TRAXPRODWEB3 is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0110542,2 - High,Critical ALERT:  A Baseline Services_Windows component  on ALFO-RODC01 is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0110543,2 - High,Critical ALERT:  A Baseline Services_Windows component  on AUS-ORIONHA01 is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0110544,4 - Low,Critical ALERT:  A Baseline Services_Windows component  on G-SCCM01 is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0110545,2 - High,Critical ALERT:  A Baseline Services_Windows component  on AUS-AP-FB01 is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0110546,2 - High,Critical ALERT:  A Baseline Services_Windows component  on TXAU-FBRDP01 is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0110547,2 - High,Critical ALERT:  A Baseline Services_Windows component  on txfw-dc03 is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0110548,2 - High,Critical ALERT:  A Baseline Services_Windows component  on TXAU-SQL19-N2 is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0110549,2 - High,Critical ALERT:  A Baseline Services_Windows component  on GJDEOHS02 is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0110550,4 - Low,Critical ALERT:  A Baseline Services_Windows component  on VALSIGVM02 is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0110551,2 - High,Critical ALERT:  A Baseline Services_Windows component  on AUS-DRSC is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0110553,2 - High,Critical ALERT:  A Baseline Services_Windows component  on TXAU-FB01 is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0110554,2 - High,Critical ALERT:  A Baseline Services_Windows component  on AUSTX-Datamatic is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0110555,2 - High,Critical ALERT:  A Baseline Services_Windows component  on SHARESCANSERVER is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0110556,2 - High,Critical ALERT:  A Baseline Services_Windows component  on ITMAFILE is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0110557,3 - Moderate,Warning Alert: Memory Utilization on VALDC01 is : 94 %,Windows Support,False,warning alert memory utilization on valdc01 is,warn alert memory utilization on valdc01 be,windows support,                windows support,                 window support,9,gbvvscl3-warn
INC0110559,2 - High,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB07 is in a current state of: Critical,JDE CNC Technical,False,critical alert  a jde_webserver_services compo,critical alert   a jde_webserver_services compo,jde cnc,              jde cnc technical,               jde cnc technical,11,critical-device
INC0110560,3 - Moderate,Alert: CPU Utilization on GJDEWEB04 is Critical,Windows Support,False,   alert cpu utilization on gjdeweb04 is critical,    alert cpu utilization on gjdeweb04 be critical,windows support,                windows support,                 window support,6,component-microsoft
INC0110561,2 - High,Alert: CPU Utilization in GJDEWEB07 is Critical	,JDE CNC Technical,False, alert cpu utilization in gjdeweb07 is criticalt,  alert cpu utilization in gjdeweb07 be criticalt,jde cnc,              jde cnc technical,               jde cnc technical,1,cpu-utilization
INC0110565,3 - Moderate,Alert: CPU Utilization on tcmqa03-ws01.tcmis.com is Critical,Linux Support,False,alert cpu utilization on tcmqa03ws01tcmisco,alert cpu utilization on tcmqa03ws01tcmisco,linux support,                  linux support,                   linux support,1,cpu-utilization
INC0110567,3 - Moderate,Alert: Memory Utilization on tcmprd-ws07.tcmis.com is warning,Linux Support,False,alert memory utilization on tcmprdws07tcmis,alert memory utilization on tcmprdws07tcmis,linux support,                  linux support,                   linux support,2,baseline-services_window
INC0110568,2 - High, NODE ALERT: ITEST2.WESCOHQ.COM is Down,JDE CNC Technical,False,            node alert itest2wescohqcom is down,             node alert itest2wescohqcom be down,jde cnc,              jde cnc technical,               jde cnc technical,2,baseline-services_window
INC0110571,3 - Moderate,Alert: CPU Utilization on GJDEWEB07 is Critical,Windows Support,False,   alert cpu utilization on gjdeweb07 is critical,    alert cpu utilization on gjdeweb07 be critical,windows support,                windows support,                 window support,6,component-microsoft
INC0110572,4 - Low, NODE ALERT: VALJDELOG01 has rebooted,JDE CNC Technical,False,              node alert valjdelog01 has rebooted,               node alert valjdelog01 have reboot,jde cnc,              jde cnc technical,               jde cnc technical,3,node-reboot
INC0110573,3 - Moderate,TIER 3 - Critical Device Down: CN-HAN-C1111-R01.wescoaircraft.com is Down,Network Support,False,tier 3  critical device down cnhanc1111r01,tier 3   critical device down cnhanc1111r01,network support,                network support,                 network support,4,inban2921r01-device
INC0110574,2 - High,ALERT:  A M5 Monitoring Tomcat component  on tcmprd-ws07.tcmis.com is Down,Linux Support,False,alert  a m5 monitoring tomcat component  on tc,alert   a m5 monitoring tomcat component   on tc,linux support,                  linux support,                   linux support,6,component-microsoft
INC0110575,4 - Low, NODE ALERT: DEVJDEJAS2 has rebooted,JDE CNC Technical,False,               node alert devjdejas2 has rebooted,                node alert devjdejas2 have reboot,jde cnc,              jde cnc technical,               jde cnc technical,3,node-reboot
INC0110576,2 - High, NODE ALERT: AUSOFF-FILE01 is Down,Windows Support,False,                 node alert ausofffile01 is down,                  node alert ausofffile01 be down,windows support,                windows support,                 window support,0,group-network
INC0110577,2 - High,Critical ALERT:  A TCMIS services 2.0 component  on tcmprd-ws07.tcmis.com is Down,Linux Support,False,critical alert  a tcmis services 20 component,critical alert   a tcmis service 20 component,linux support,                  linux support,                   linux support,11,critical-device
INC0110578,2 - High, NODE ALERT: yokneam-wds is Down,Windows Support,False,                   node alert yokneamwds is down,                    node alert yokneamwd be down,windows support,                windows support,                 window support,3,node-reboot
INC0110579,2 - High, NODE ALERT: YOKNEAM-DC01 is Down,Windows Support,False,                  node alert yokneamdc01 is down,                   node alert yokneamdc01 be down,windows support,                windows support,                 window support,3,node-reboot
INC0110580,2 - High, NODE ALERT: YOKNEAM-FILE01 is Down,Windows Support,False,                node alert yokneamfile01 is down,                 node alert yokneamfile01 be down,windows support,                windows support,                 window support,3,node-reboot
INC0110581,2 - High,ESX ALERT: yokneam-esx01.haasgroupintl.com is Down,Windows Support,False,esx alert yokneamesx01haasgroupintlcom is down,esx alert yokneamesx01haasgroupintlcom be down,windows support,                windows support,                 window support,10,esx-utilization
INC0110582,3 - Moderate,Warning Alert: Memory Utilization on SGSVSFS1 is : 97 %,Windows Support,False,warning alert memory utilization on sgsvsfs1 i,warn alert memory utilization on sgsvsfs1 I,windows support,                windows support,                 window support,13,memory-warn
INC0110583,2 - High,Critical ALERT:  A Distributed File System (DFS) component  on AUS-DFS01 is in a current state of: Down,Windows Support,False,critical alert  a distributed file system dfs,critical alert   a distribute file system dfs,windows support,                windows support,                 window support,4,inban2921r01-device
INC0110585,3 - Moderate,Warning ALERT:  SQL Components component  on gbdvssq0 shows Warning,MS SQL Database Support,False,warning alert  sql components component  on gb,warn alert   sql component component   on gb,ms sql database support,        ms sql database support,         ms sql database support,6,component-microsoft
INC0110586,2 - High, NODE ALERT: INBA-DC1 is Down,Windows Support,False,                      node alert inbadc1 is down,                       node alert inbadc1 be down,windows support,                windows support,                 window support,3,node-reboot
INC0110588,3 - Moderate,Alert: CPU Utilization on G-OPTIOPD is Warning	,Windows Support,False,  alert cpu utilization on goptiopd is warningt,   alert cpu utilization on goptiopd be warningt,windows support,                windows support,                 window support,1,cpu-utilization
INC0110589,4 - Low,Alert: CPU Utilization on tcmdev-ora01 is Warning,Linux Support,False, alert cpu utilization on tcmdevora01 is warning,  alert cpu utilization on tcmdevora01 be warn,linux support,                  linux support,                   linux support,1,cpu-utilization
INC0110590,4 - Low,ALERT: DISK SPACE on AUS-VEEAM-CON01-C:\ Label: DAE3F737 has currently 14 % is available,Windows Support,False,alert disk space on ausveeamcon01c label,alert disk space on ausveeamcon01c label,windows support,                windows support,                 window support,7,disk-space
INC0110594,3 - Moderate,Warning Alert: Memory Utilization on GBVVSSQ10 is : 95 %,Windows Support,False,warning alert memory utilization on gbvvssq10 ,warn alert memory utilization on gbvvssq10,windows support,                windows support,                 window support,5,utilization-gbvvssq10
INC0110596,2 - High,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB01 is in a current state of: Critical,JDE CNC Technical,False,critical alert  a jde_webserver_services compo,critical alert   a jde_webserver_services compo,jde cnc,              jde cnc technical,               jde cnc technical,11,critical-device
INC0110597,3 - Moderate,Warning Alert: Memory Utilization on ECOMDEVWEBVS01 is : 94 %,Windows Support,False,warning alert memory utilization on ecomdevweb,warn alert memory utilization on ecomdevweb,windows support,                windows support,                 window support,13,memory-warn
INC0110598,4 - Low, NODE ALERT: GJDEWEB04 has rebooted,JDE CNC Technical,False,                node alert gjdeweb04 has rebooted,                 node alert gjdeweb04 have reboot,jde cnc,              jde cnc technical,               jde cnc technical,3,node-reboot
INC0110599,2 - High,Alert: CPU Utilization in GJDEWEB01 is Critical	,JDE CNC Technical,False, alert cpu utilization in gjdeweb01 is criticalt,  alert cpu utilization in gjdeweb01 be criticalt,jde cnc,              jde cnc technical,               jde cnc technical,5,utilization-gbvvssq10
INC0110600,2 - High,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB04 is in a current state of: Down,JDE CNC Technical,False,critical alert  a jde_webserver_services compo,critical alert   a jde_webserver_services compo,jde cnc,              jde cnc technical,               jde cnc technical,11,critical-device
INC0110602,4 - Low, NODE ALERT: GJDEWEB07 has rebooted,JDE CNC Technical,False,                node alert gjdeweb07 has rebooted,                 node alert gjdeweb07 have reboot,jde cnc,              jde cnc technical,               jde cnc technical,3,node-reboot
INC0110603,4 - Low,"Group Alert: Network Team Tickets: WAP - West Chester - AMER - 1475 Phoenixvil?le Pike Suite 100, West Chester, PA 19380, USA Down",Network Support,False,group alert network team tickets wap  west c,group alert network team ticket wap   west c,network support,                network support,                 network support,0,group-network
INC0110605,2 - High,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB07 is in a current state of: Down,JDE CNC Technical,False,critical alert  a jde_webserver_services compo,critical alert   a jde_webserver_services compo,jde cnc,              jde cnc technical,               jde cnc technical,11,critical-device
INC0110606,3 - Moderate,TIER 3 - Critical Device Down: US-GOL-891-RAY-R01.wescoaircraft.com is Down,Network Support,False,tier 3  critical device down usgol891rayr,tier 3   critical device down usgol891rayr,network support,                network support,                 network support,12,tier-critical
INC0110607,4 - Low, NODE ALERT: GJDEWEB08 has rebooted,JDE CNC Technical,False,                node alert gjdeweb08 has rebooted,                 node alert gjdeweb08 have reboot,jde cnc,              jde cnc technical,               jde cnc technical,3,node-reboot
INC0110610,2 - High,Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down,Windows Support,False,critical alert  a microsoft iis component  on ,critical alert   a microsoft iis component   on,windows support,                windows support,                 window support,6,component-microsoft
INC0110612,3 - Moderate,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Warning	,Windows Support,False,alert cpu utilization on ausesx17haasgroupin,alert cpu utilization on ausesx17haasgroupin,windows support,                windows support,                 window support,7,disk-space
INC0110613,3 - Moderate,Alert: Memory Utilization on tcmprd-haasr05.tcmis.com is warning,Linux Support,False,alert memory utilization on tcmprdhaasr05tcm,alert memory utilization on tcmprdhaasr05tcm,linux support,                  linux support,                   linux support,5,utilization-gbvvssq10
INC0110616,2 - High,NODE Down ALERT: XA6501 is Down,Citrix Support,False,                   node down alert xa6501 is down,                    node down alert xa6501 be down,citrix support,                 citrix support,                  citrix support,0,group-network
INC0110617,2 - High,NODE Down ALERT: XA6540 is Down,Citrix Support,False,                   node down alert xa6540 is down,                    node down alert xa6540 be down,citrix support,                 citrix support,                  citrix support,4,inban2921r01-device
INC0110619,3 - Moderate,Warning Alert: Memory Utilization on GBVFSMO0 is : 94 %,Windows Support,False,warning alert memory utilization on gbvfsmo0 i,warn alert memory utilization on gbvfsmo0 I,windows support,                windows support,                 window support,13,memory-warn
INC0110623,3 - Moderate,Alert: CPU Utilization on GJDEWEB01 is Critical,Windows Support,False,   alert cpu utilization on gjdeweb01 is critical,    alert cpu utilization on gjdeweb01 be critical,windows support,                windows support,                 window support,5,utilization-gbvvssq10
INC0110626,4 - Low, NODE ALERT: GJDEWEB01 has rebooted,JDE CNC Technical,False,                node alert gjdeweb01 has rebooted,                 node alert gjdeweb01 have reboot,jde cnc,              jde cnc technical,               jde cnc technical,3,node-reboot
